Тип актива,Подкатегория,География,Тикер,Название,УК,ISIN,URL
Сырье,Золото,Россия,TGLD,"Т-Капитал Золото (Т-Капитал), 4098, TGLD",Парсинг,,https://investfunds.ru/funds/6329/
Акции,Российские Акции,Россия,TITR,"Т-Капитал Российские Технологии (Т-Капитал), 6126, TITR",Парсинг,,https://investfunds.ru/funds/10421/
Облигации,Госбонды,Россия,TLCB,"Т-Капитал Локальные валютные облигации (Т-Капитал), 5728, TLCB",Парсинг,,https://investfunds.ru/funds/9627/
Деньги,Рубли,Россия,TMON,"Т-Капитал Денежный Рынок (Т-Капитал), 5229, TMON",Парсинг,,https://investfunds.ru/funds/8628/
Акции,Российские Акции,Россия,TMOS,"Т-Капитал Индекс МосБиржи (Т-Капитал), 4100, TMOS",Парсинг,,https://investfunds.ru/funds/6333/
Облигации,Госбонды,Россия,TOFZ,"Т-Капитал ОФЗ (Т-Капитал), 6635, TOFZ",Парсинг,,https://investfunds.ru/funds/11445/
Облигации,Госбонды,Россия,TPAY,"Т-Капитал Пассивный Доход (Т-Капитал), 6287, TPAY",Парсинг,,https://investfunds.ru/funds/10745/
Акции,Российские Акции,Россия,TRND,"Т-Капитал Трендовые акции (Т-Капитал), 6876, TRND",Парсинг,,https://investfunds.ru/funds/11925/
Смешанные,Сбалансированные,Россия,TRUR,"Т-Капитал – Стратегия вечного портфеля в рублях (Т-Капитал), 3900, TRUR",Парсинг,,https://investfunds.ru/funds/5945/
Облигации,Госбонды,Россия,TUSD,"Т-Капитал – Стратегия вечного портфеля Д (Т-Капитал), 3898, TUSD",Парсинг,,https://investfunds.ru/funds/5941/
Облигации,Госбонды,Россия,BCSB,"БКС Облигации повышенной доходности (Брокеркредитсервис), 4301, BCSB",Парсинг,,https://investfunds.ru/funds/6751/
Деньги,Рубли,Россия,BCSD,"БКС Денежный рынок (Брокеркредитсервис), 6330, BCSD",Парсинг,,https://investfunds.ru/funds/10831/
Сырье,Золото,Россия,BCSG,"БКС Золото (Брокеркредитсервис), 7003, BCSG",Парсинг,,https://investfunds.ru/funds/12179/
Акции,Российские Акции,Россия,BCSR,"БКС Индекс Российского рынка (Брокеркредитсервис), 6615, BCSR",Парсинг,,https://investfunds.ru/funds/11411/
Смешанные,Сбалансированные,Россия,BCSW,"БКС Всепогодный портфель (Брокеркредитсервис), 6918, BCSW",Парсинг,,https://investfunds.ru/funds/12009/
Деньги,Рубли,Россия,MONY,"АК БАРС – Денежный рынок (АК БАРС КАПИТАЛ), 6661, MONY",Парсинг,,https://investfunds.ru/funds/11499/
Сырье,Золото,Россия,PSGM,"ПСБ – Золотой рынок (Промсвязь), 6919, PSGM",Парсинг,,https://investfunds.ru/funds/12011/
Деньги,Рубли,Россия,PSMM,"ПСБ – Денежный рынок (Промсвязь), 6170, PSMM",Парсинг,,https://investfunds.ru/funds/10509/
Облигации,Госбонды,Россия,PSRB,"ПСБ – Рублевые облигации (Промсвязь), 6626, PSRB",Парсинг,,https://investfunds.ru/funds/11429/
Акции,Российские Акции,Россия,PSRE,"ПСБ – Российские акции (Промсвязь), 7155, PSRE",Парсинг,,https://investfunds.ru/funds/12483/
Облигации,Корпбонды,Россия,BNDA,"ДОХОДЪ. Облигации до декабря 2025/2028/2031 (ДОХОДЪ), 6971, BNDA",Парсинг,,https://investfunds.ru/funds/12115/
Облигации,Корпбонды,Россия,BNDB,"ДОХОДЪ. Облигации до декабря 2026/2029/2032 (ДОХОДЪ), 6955, BNDB",Парсинг,,https://investfunds.ru/funds/12087/
Облигации,Корпбонды,Россия,BNDC,"ДОХОДЪ. Облигации до декабря 2027/2030/2033 (ДОХОДЪ), 6970, BNDC",Парсинг,,https://investfunds.ru/funds/12113/
Облигации,Госбонды,Россия,OPNB,"Открытие – Облигации РФ (ОТКРЫТИЕ), 4525, OPNB",Парсинг,,https://investfunds.ru/funds/7193/
Акции,Российские Акции,Россия,OPNR,"Открытие – Акции РФ (ОТКРЫТИЕ), 4523, OPNR",Парсинг,,https://investfunds.ru/funds/7189/
Акции,Российские Акции,Россия,SCFT,"Технологии будущего (Доверительная), 4654, SCFT",Парсинг,,https://investfunds.ru/funds/7469/
Деньги,Рубли,Россия,SCLI,"Ликвидный (Доверительная), 6268, SCLI",Доверительная,,https://investfunds.ru/funds/10711/
Акции,Российские Акции,Россия,DIVD,"ДОХОДЪ Индекс дивидендных акций (ДОХОДЪ), 4242, DIVD",Парсинг,,https://investfunds.ru/funds/6625/
Акции,Российские Акции,Россия,EQMX,"Индекс МосБиржи (ВИМ Инвестиции), 3965, EQMX",Парсинг,,https://investfunds.ru/funds/6073/
Акции,Российские Акции,Россия,ESGR,"РСХБ - Индекс МосБиржи - РСПП Вектор устойчивого развития, полной доходности, брутто (РСХБ Управление Активами), 4057, ESGR",Парсинг,,https://investfunds.ru/funds/6227/
Сырье,Золото,Россия,GOLD,"Золото. Биржевой (ВИМ Инвестиции), 4038, GOLD",Парсинг,,https://investfunds.ru/funds/6223/
Акции,Российские Акции,Россия,GROD,"ДОХОДЪ Индекс акций роста (ДОХОДЪ), 4444, GROD",Парсинг,,https://investfunds.ru/funds/7011/
Облигации,Госбонды,Россия,INGO,"Ингосстрах – корпоративные облигации (Ингосстрах - Инвестиции), 4483, INGO",Парсинг,,https://investfunds.ru/funds/7121/
Акции,Российские Акции,Россия,MKBD,"МКБ – Российские Дивидендные Акции (МКБ Инвестиции), 4474, MKBD",Парсинг,,https://investfunds.ru/funds/7099/
Облигации,Госбонды,Россия,PRIE,"РСХБ – Облигации, вектор И.Эс.Джи (РСХБ Управление Активами), 4362, PRIE",Парсинг,,https://investfunds.ru/funds/6857/
Облигации,Госбонды,Россия,SUGB,"РЕГИОН - Индекс МосБиржи государственных облигаций (1-3 года) (МКБ Инвестиции), 4121, SUGB",Парсинг,,https://investfunds.ru/funds/6385/
Облигации,Корпбонды,Россия,BOND,"ДОХОДЪ Сбондс Корпоративные облигации РФ (ДОХОДЪ), 4920, BOND",Парсинг,,https://investfunds.ru/funds/8003/
Деньги,Рубли,Россия,FINC,"ФИНСТАР - Денежный рынок ПЛЮС (Финстар Капитал), 6396, FINC",Парсинг,,https://investfunds.ru/funds/10965/
Облигации,Корпбонды,Россия,GOOD,"ДОХОДЪ. Стратегии денежного рынка (ДОХОДЪ), 6720, GOOD",Парсинг,,https://investfunds.ru/funds/11617/
Облигации,Госбонды,Россия,OBLG,"Российские облигации (ВИМ Инвестиции), 3647, OBLG",Парсинг,,https://investfunds.ru/funds/5433/
Облигации,Корпбонды,Россия,RSHU,"РСХБ – Корпоративные облигации смарт бета (РСХБ Управление Активами), 3906, RSHU",Парсинг,,https://investfunds.ru/funds/5955/
Деньги,Рубли,Россия,SPAY,"Первая – Фонд Ежемесячный доход (Первая), 7137, SPAY",Парсинг,,https://investfunds.ru/funds/12447/
Акции,Российские Акции,Россия,WILD,"ДОХОДЪ. Анализ акций (ДОХОДЪ), 6972, WILD",Парсинг,,https://investfunds.ru/funds/12117/
Деньги,Рубли,Россия,CNYM,"Ликвидность. Юань (ВИМ Инвестиции), 5866, CNYM",Парсинг,,https://investfunds.ru/funds/9913/
Облигации,Госбонды,Россия,INFL,"Ингосстрах Инфляционный (Ингосстрах - Инвестиции), 4742, INFL",Парсинг,,https://investfunds.ru/funds/7647/
Облигации,Госбонды,Россия,YUAN,"Облигации в юанях (Ингосстрах - Инвестиции), 5248, YUAN",Парсинг,,https://investfunds.ru/funds/8666/
Деньги,Рубли,Россия,CASH,"Ежедневный процент (ААА Управление Капиталом), 6589, CASH",Парсинг,,https://investfunds.ru/funds/11387/
Акции,Российские Акции,Россия,ESGE,"Устойчивое развитие российских компаний (ВИМ Инвестиции), 4568, ESGE",Парсинг,,https://investfunds.ru/funds/7285/
Деньги,Рубли,Россия,FMMM,"Финам - Денежный рынок (Финам Менеджмент), 6459, FMMM",Парсинг,,https://investfunds.ru/funds/11093/
Акции,Российские Акции,Россия,SIPO,"Первая – Фонд АйПиО (Первая), 6312, SIPO",Парсинг,,https://investfunds.ru/funds/10795/
Деньги,Рубли,Россия,SMCF,"СОЛИД-Денежный поток (СОЛИД Менеджмент), SMCF",СОЛИД Менеджмент,,https://solid-mn.ru/services/solid-cash-flow/
